"root"	"kanji"	"gloss"
"perkol"	"浸"	"［他］浸出させる ／ 【PIV】Ago perkoli."
"pad"	"径"	"（野山や森の）小道,細道,=vojeto ／ 【地名】=Poo（ポー川）"
"kalibr"	"径"	"［他］【機】口径・直径を測定する ／ 【機】口径,内径;（砲丸などの）直径"
"radial"	"径"	"【理】動径の ／ 【理】動径速度"
"molest"	"虐"	"《稀》［他］いじめる,虐待する,苦しめる,>>mistrakti,>>tur"
"urs"	"熊"	"【動】シロクマ（白熊）,=polusa urso ／ 【動】ヒグマ（羆） ／ 【動】ホッキョクグマ（北極熊）,=blanka urso ／ クマの,クマのような;《転》不器用な,武骨な"
"vakcin"	"疫苗"	"牛痘ワクチン,天然痘ワクチン,>>variolo ／ ジェンナー・ワクチン,天然痘ワクチン,>>variolo ／ 抗がんワクチン ／ 狂犬病ワクチン"
"vel"	"帆"	"【海】縦帆（じゅうはん） ／ 【海】横帆（おうはん） ／ 帆の ／ ［自］【海】帆走する"
"j^ib"	"帆"	"【海】ジブ（船首の三角帆）"
"velar"	"帆"	"【声】=velsono（軟口蓋音） ／ 【海】総帆 ／ 【天】ほ（帆）座"
"velk"	"枯"	"枯れた,しおれた ／ 枯れて,しおれて;《転》力なく ／ ［自］枯れる,しおれる,しなびる;《転》衰える,あせる ／ 【PIV】Stats^ang^o de io, kio velkas."
"venen"	"毒"	"毒の,有毒な;《転》有害な;《転》悪意のある ／ 【植】タガラシ（田辛） ／ ［他］毒を入れる;毒殺する,毒を盛る;《転》害する,損なう,汚染する ／ 毒,毒物,毒薬,>>tokso;《転》害毒"
"virus"	"毒"	"【生】細菌ウイルス,=bakteriofago ／ 【情】コンピュータウイルス ／ 【医】病原性ウイルス ／ 【医】ウイルス,ビールス;【情】（コンピュータ）ウイルス"
"toks"	"毒"	"毒の,有毒な,>>venena ／ ［他］中毒させる ／ 【医】毒物,毒,>>veneno"
"toksin"	"毒"	"【医】毒素,トキシン"
"veŝt"	"坎"	"【服】ベスト,チョッキ"
"vidv"	"寡"	"配偶者を失った,やもめの ／ 男やもめ,寡夫"
"virt"	"德"	"徳の高い,有徳の ／ 徳,徳性,美徳;美点 ／ 【PIV】En virta maniero: li agas juste k"
"moral"	"德"	"道徳の,道義上の;道徳的な,道義にかなった;心の,精神的な ／ 道徳の危機 ／ 精神的支援 ／ 道徳的に,道義的に"
"vual"	"纱"	"［他］ベールをかける,覆いをかける;《転》覆い隠す ／ 【服】ベール;覆い;《転》覆い隠すもの"
"gaz"	"纱"	"薄織りの,薄地の;ガーゼの ／ 【織】薄織物,紗（しゃ）,絽（ろ）;【医】ガーゼ ／ 【PIV】Z, Gaza/o. Palestina havenurbo (3"
"vulp"	"狐"	"【動】ホッキョクギツネ（北極狐）,=izatiso ／ 【動】アオギツネ（青狐）（ホッキョクギツネの一品種） ／ キツネの;《転》ずるがしこい ／ 【動】キツネ（狐）（種）;キツネ（属）"
"altern"	"替"	"交互の;【電】交流の ／ 【電】交流 ／ 【電】交流電圧 ／ 交互に,交替で"
"dubl"	"替"	"［他］【劇】代役を務める,>>anstatau^i;【映】（音声の）吹き替え"
"ambici"	"志"	"野心的な ／ ［他］大望をもつ ／ 野心,大望"
"grafi"	"志"	"【医】【PIV】Organika perturbo de la kapabl"
"analiz"	"析"	"分析的な ／ ［他］分析する ／ 分析,解析 ／ 【理】次元解析"
"skand"	"析"	"［他］（詩句の）韻律を分析する;（詩を）韻律をつけて読む ／ 【文】韻律分析;韻律をつけて読むこと"
"antikv"	"古"	"古代の,大昔の ／ 古美術品"
"arka"	"古"	"【PIV】Arkaika."
"arest"	"逮"	"［他］逮捕する ／ 逮捕,検束"
"arog"	"傲"	"［他］不当に要求する,勝手にわが物とする;思い上がって〜する ／ 【PIV】Ago de iu, kiu arogas ion: lia ar"
"orgojl"	"傲"	"思いあがった,高慢な,傲慢な,>>aroganta,>>malhumila ／ 思いあがり,高慢,傲慢,>>fierac^o"
"aŭdac"	"敢"	"大胆な,ずぶとい ／ ［自］果敢に〜する,ずうずうしくも〜する ／ 大胆,厚かましさ"
"aŭror"	"晓"	"曙（あけぼの）,夜明け;曙光（しょこう）;【気】=polusa lumo（極 ／ 【神】アウロラ（ローマ神話の曙の女神） ／ =nordlumo（北極光） ／ 【PIV】(ntr (netransitiva)) Eklumi kiel "
"aviad"	"航"	"［自］飛行機で飛ぶ ／ 航空,飛行;航空術,飛行術 ／ 【PIV】Rilata al aviado: aviada rekordo,"
"navig"	"航"	"［自］【海】航行する,=marveturi;【空】航行する,=aervetu ／ 【PIV】Rilata al navigado: navigaj lumoj"
"nau^tik"	"航"	"【PIV】Arto de la navigacio. ／ 【PIV】Rilata al nau^tiko: nau^tika alma"
"balen"	"鲸"	"【動】クジラ;セミクジラ ／ 【天】くじら座 ／ 【動】ザトウクジラ（座頭鯨）（種）"
"cetac"	"鲸"	"【動】クジラ類,>>baleno,>>makrocefalo"
"banal"	"庸"	"平凡な,ありふれた,>>triviala,>>vulgara"
"tort"	"饼"	"【料】タルト（果物・クリームなどをのせたパイ）,>>flano,>>past"
"pic"	"饼"	"【料】ピザ"
"vafl"	"饼"	"【料】ワッフル"
"oblat"	"饼"	"【薬】オブラート;【カ】聖餅（せいへい）;《古》封かん用の糊"
"kresp"	"饼"	"【料】そば粉のクレープ（ブルターニュ地方） ／ 【料】クレープ,>>patkuko"
"kraken"	"饼"	"【料】クラッカー"
"bomb"	"弹"	"［他］【軍】爆撃する ／ 【軍】爆弾;【理】ボンベ（耐圧容器） ／ 【軍】焼夷弾,=brulbombo ／ 【軍】ナパーム弾"
"kugl"	"弹"	"弾丸,たま,小銃弾"
"elast"	"弹"	"弾力のある,柔軟な;融通のきく,順応性に富む ／ 【理】弾性変形 ／ 【理】弾性エネルギー ／ 【理】弾性力"
"obus"	"弹"	"催涙弾 ／ 【軍】（炸薬を詰めた）砲弾,榴弾（りゅうだん）,>>kuglego,>>gr"
"budh"	"佛"	"【仏】戒名,法名 ／ 仏教寺院,寺 ／ 【仏】仏教徒 ／ 仏像"
"buda"	"佛"	"【仏】=Budho（仏陀）"
"kron"	"冠"	"【天】みなみのかんむり座 ／ 【天】かんむり座 ／ （棺や墓の上におく）花輪 ／ ［他］冠をかぶせる;即位させる;《転》頂を飾る,最後を飾る"
"krest"	"冠"	"【動】（鳥の）とさか;（鳥の）羽冠;《転》（長い）頂部;【理】（波の）山,>"
"mitr"	"冠"	"［他］【カ】ミトラを授ける ／ 【カ】ミトラ,司教冠 ／ 【PIV】1 Rilata al mitro. 2 Mitroforma: "
"kalot"	"冠"	"【数】【PIV】Segmento de sfero, limita de n"
"kalkan"	"跟"	"【解】踵（かかと） ／ アキレスの踵（かかと）;弱点,急所"
"kandel"	"烛"	"ろうそく;【理】カンデラ（光度の単位，cd） ／ 獣脂ろうそく,><vakskandelo"
"kares"	"抚"	"愛撫するような,優しい ／ やさしく触れること ／ 優しい声 ／ やさしく,そっと"
"kastel"	"城"	"城,城郭;大邸宅,館（やかた） ／ 空中楼閣,=nubkastelo ／ 砂上の楼閣"
"kemi"	"化学"	"人に化学の試験をする ／ 【化】化学当量 ／ 【環】化学的酸素要求量（COD） ／ 【化】化学反応"
"kin"	"映"	"映画,映画制作,>>filmo"
"kned"	"揉"	"［他］（穀粉・粘土を）こねる,練る;もむ;《転》（性格などを）鍛える ／ 練り粉をこねる ／ （片方の）肩をもむ"
"tau^z"	"揉"	"［他］（髪など）かき乱す,かきむしる,かき回す,もみくしゃにする;《転》小突 ／ 【PIV】Ago de iu, kiu tau^zas."
"integr"	"全"	"全部の,完全な,欠けたところのない;不可分の,不可欠の ／ 【情】集積回路（ＩＣ） ／ 不可欠の要素 ／ （縮約版に対して）完全版"
"konfuz"	"乱"	"混乱をもたらす ／ 雑然とした,混乱させる,不明瞭（めいりょう）な ／ ［他］混乱させる,かき乱す;取り違える,混同する;まごつかせる,困惑させる ／ 混乱;混同;当惑,狼狽（ろうばい）"
"turbul"	"乱"	"【理】乱流の,>>lamena ／ 【理】乱流 ／ ［自］【理】不規則に流れる（乱流）,乱流をなす ／ 【PIV】Kirla movado en la aertavoloj."
"pelmel"	"乱"	"=malorde（無秩序に） ／ =malordo（無秩序） ／ 【PIV】Tute senorda."
"konkur"	"竞"	"競争的な ／ 競争で,競って ／ ［自］競争する,競う,張り合う ／ 競争,競合,対抗"
"kord"	"弦"	"【楽】金属弦,スチール弦 ／ 【楽】ガット弦,羊腸弦 ／ 【楽】弦のある ／ 【楽】弦楽四重奏"
"kot"	"泥"	"泥の,ぬかるんだ,泥まみれの;《転》汚い ／ ぬかるみ,軟泥,>>s^limejo ／ ぬかるんだ道 ／ ［自］泥にまみれる;ぬかるむ;（動物が）糞をたれる"
"s^lim"	"泥"	"【環】活性汚泥 ／ 泥の,ぬかるんだ ／ （川底・湖底の）泥,軟泥,へどろ,>>koto;【環】汚泥;《転》泥沼,汚辱 ／ 【PIV】(ntr (netransitiva)) Demeti s^lim"
"pure"	"泥"	"【料】ピューレ"
"krad"	"栅"	"【理】回折格子 ／ 【電】スクリーングリッド,遮蔽格子 ／ 格子の;格子の付いた ／ ［他］格子をつける"
"hurd"	"栅"	"［他］すのこを張る ／ （柳の枝や針金で編んだ）すのこ;【運】ハードル"
"kran"	"栓"	"【機】（水道・ガスなどの）栓,コック,蛇口"
"bolt"	"栓"	"［他］ボルトで締める ／ 【機】ボルト"
"embol"	"栓"	"【医】塞栓（そくせん）,>>trombo"
"dubel"	"栓"	"【技】【PIV】Peceto, kiun oni ens^ovas en t ／ 【PIV】(tr (transitiva)) Enmeti dubelon "
"kret"	"白石"	"白亜質の ／ チョーク,白墨;【鉱】白亜 ／ 【地名】クレタ島（ギリシア） ／ 【PIV】(tr (transitiva)) S^miri per kret"
"kruel"	"残"	"残酷な,むごい;厳しい,悲惨な ／ どう猛な動物 ／ 悲惨な死 ／ 過酷な運命"
"kripl"	"残"	"不具の,肢体不自由の;欠陥のある ／ 肢体不自由児"
"krut"	"陡"	"切り立った,険しい ／ 急斜面 ／ 切り立った島 ／ 急な階段"
"abrupt"	"陡"	"唐突な,突然の,不意の;ぶっきらぼうな;（崖などが）険しい ／ ぶっきらぼうな声 ／ （不快なほど）唐突に,突然に,いきなり,>>subite,>>neatend"
"kubut"	"肘"	"ひじの ／ 【解】ひじ関節 ／ 【解】ひじ;《転》曲がり角,屈曲部;【機】エルボ（管）,Ｌ字継手"
"kupr"	"铜"	"真鍮（しんちゅう）,黄銅,=latuno ／ 銅製の;赤銅色の ／ 【化】硫酸銅 ／ ［他］銅メッキする;銅で被覆する"
"kurten"	"帘"	"【史】鉄のカーテン ／ ［他］カーテンをつける,カーテンで覆う ／ カーテン,（劇場の）幕 ／ カーテンを引く"
"kverk"	"橡"	"【植】カシワ（柏） ／ 【植】ナラ（楢）,カシ（樫）,オーク;【植】コナラ属 ／ 【植】アカガシワ,レッドオーク ／ 【植】トキワガシ,=ilekskverko"
"glan"	"橡"	"【植】カシの実,どんぐり;【解】亀頭"
"lek"	"舔"	"［他］なめる;《転》へつらう"
"lift"	"梯"	"エレベーター,昇降機;【海】（帆桁の）つり綱"
"eskal"	"梯"	"《稀》はしご,=s^tupetaro;（ストッキングの）伝線,=dismas"
"trapez"	"梯"	"【数】台形;【遊】ぶらんこ"
"lup"	"狼"	"狼の;《転》残虐な ／ 【動】オオカミ（狼）（種） ／ 【天】おおかみ座"
"maĉ"	"嚼"	"［他］かみ砕く,かむ ／ 【運】=>matc^o（試合）"
"marĉ"	"沼"	"【環】湖沼 ／ 【植】カキツバタ（_Iris laevigata_） ／ 【鳥】タシギ（属）,=galinago ／ 【動】ヌマガメ（沼亀）（属）,=emido"
"migr"	"迁"	"［自］（他国から）移住する,移民する ／ （他国からの）移住 ／ 移動の,遍歴の;移動性の ／ 旅役者"
"emigr"	"迁"	"【PIV】(ntr (netransitiva)) Elmigri pro "
"min"	"矿"	"鉱業 ／ ［他］坑道を掘る;爆薬を仕掛ける,地雷を敷設する ／ 鉱山,採掘坑;爆破坑;【軍】地雷,機雷 ／ 【PIV】Rilata al mino: mina laboristo, i"
"erc"	"矿"	"【鉱】鉱石,原鉱,>>minaj^o"
"model"	"模"	"模範的な ／ 模範的に ／ ［他］ひな型を作る,=modli;型に入れて作る,=muldi ／ 模型,原型,ひな型,手本;《転》模範;【美】モデル（人）;【服】ファッション"
"s^ablon"	"模"	"ひな型の,型から作った;紋切型の,月並みの ／ 【服】型紙;（機械などの）ひな型,型;【情】テンプレート;《転》紋切型"
"moskit"	"蚊"	"《般》【虫】マラリア蚊,=anofelo ／ 《般》【虫】蚊（か）,>>kulo"
"kul"	"蚊"	"【虫】カ（蚊）;（特に）イエカ（属）,>>moskito"
"mus"	"鼠"	"【文】ミッキーマウス（ディズニー・アニメの主人公） ／ 【植】ムギクサ（麦草）（種） ／ 【動】ハツカネズミ（二十日鼠）（属）;《般》（比較的小型の）ネズミ,>>ra"
"rat"	"鼠"	"【動】ドブネズミ（溝鼠）（種） ／ 【動】クマネズミ（熊鼠）（種） ／ 【動】クマネズミ（熊鼠）（属）,ドブネズミ（溝鼠）;《般》（比較的大型の）ネ"
"mel"	"鼠"	"【動】アナグマ（属）（穴熊）"
"ermen"	"鼠"	"【動】オコジョ,エゾイタチ,アーミン;=ermenfelo"
"vizon"	"鼠"	"【動】ミンク,（特に）アメリカミンク"
"mefit"	"鼠"	"【動】シマスカンク（属）;（一般に）スカンク"
"zibel"	"鼠"	"【動】クロテン（黒貂）（種）,>>mustelo"
"putor"	"鼠"	"【動】ケナガイタチ（毛長鼬）（種）,>>mustelo"
"mustel"	"鼠"	"【動】イタチ（鼬）（属）;《般》イタチ・テンなどの総称,>>furo,>>p"
"muskol"	"筋"	"筋肉を鍛える ／ 【解】心筋 ／ 筋肉の;筋肉の多い,筋骨たくましい ／ 【生】筋繊維,筋線維"
"tenden"	"筋"	"【解】アキレス腱 ／ =ah^ila tendeno（アキレス腱） ／ 【解】腱（けん）;（弓の）弦,つる"
"naiv"	"朴"	"素朴な,無邪気な;うぶな,世間知らずの,愚直な ／ 無邪気に;ばか正直に"
"rustik"	"朴"	"【建】【PIV】Prezentanta simplan, ec^ kruda"
"naŭz"	"呕"	"吐き気を催すような;ひどく不快な ／ 吐き気のするほど ／ ［他］吐き気を催させる;《転》むかむかさせる ／ 吐き気;ひどい不快感"
"nerv"	"神经"	"【解】自律神経系 ／ 【解】中枢神経 ／ 【解】座骨神経 ／ 神経の;=nervoza（神経質な）"
"neŭr"	"神经"	"【生】【PIV】Nervo, nerva histo (en kunmeta"
"nobl"	"贵"	"高潔な,気高い,気品のある ／ 【菌】ヤマドリタケ（アミタケ科の食用キノコ） ／ 【化】希ガス ／ 高潔な人柄"
"nobel"	"贵"	"貴族の ／ 貴族,>>aristokrato ／ 【人名】ノーベル（スウェーデンの化学技術者、1833-1896）"
"observ"	"观"	"［他］観察する,観測する,監視する;（法規などを）守る,遵守する ／ 期日を守る ／ =observado（観察）;=observaj^o（観察記録）"
"spekt"	"观"	"［他］見物する,観覧する"
"ombrel"	"伞"	"傘（かさ）"
"umbel"	"伞"	"【植】散形花序"
"palac"	"宫"	"【日】添屋敷（そえやしき）【私家版】 ／ （la 〜 de Tokio）（日本の）皇居；（la 〜 de Pekino ／ 【日】下屋敷（しもやしき）【私家版】 ／ 【日】中屋敷（なかやしき）【私家版】"
"uter"	"宫"	"【解】子宮頸部 ／ 【医】子宮無力,陣痛微弱 ／ 子宮の ／ 【病】子宮がん（癌）"
"pent"	"悔"	"［他］後悔する,悔悟する,改悛する ／ 後悔,悔悟,改悛（かいしゅん）"
"rimors"	"悔"	"【PIV】Konsciencriproc^o: vermo la hau^t ／ 【PIV】Senti konsciencan riproc^on. Vd b"
"pinĉ"	"掐"	"［他］（指などで）つまむ,はさむ,つねる;（動物が草を）はむ;（芽などを）摘 ／ つまむこと"
"pir"	"梨"	"【果】ナシ（梨）,洋ナシ"
"plumb"	"铅"	"鉛の;鉛のような,重苦しい ／ 鉛管 ／ ［他］鉛をつける,鉛板を張る ／ 【鉱】鉛;【化】鉛（原子番号82）"
"posten"	"岗"	"［自］持ち場についている,部署を守る ／ （軍隊の）持ち場,部署;（職務上の）地位,役職,ポスト ／ 空位,欠員"
"situ"	"位"	"［自］位置する,場所にある ／ （地理的）位置,場所,立地"
"pozici"	"位"	"位置の ／ 【理】位置ベクトル ／ 位置,立場,地位;姿勢;【軍】陣地"
"bit"	"位"	"【情】ビット ／ 【海】ビット,繋柱（けいちゅう）"
"noci"	"概"	"【哲】概念,観念,>>koncepto;知識（の要素）"
"proces"	"程"	"【法】民事訴訟 ／ 訴訟に勝つ ／ 【法】刑事訴訟 ／ 【理】準静的過程"
"procez"	"程"	"民主化過程 ／ 消化過程 ／ 歴史的過程 ／ 経過,過程,進展,成り行き,>>progresado;【情】プロセス"
"proz"	"散文"	"散文の;《転》散文的な,平凡な,面白味のない,>>banala,>>plat ／ 散文,散文体"
"pulm"	"肺"	"空洞のある肺 ／ 肺の ／ 【解】肺胞 ／ 【病】肺気腫"
"pulv"	"火药"	"火薬"
