"root"	"kanji"	"gloss"
"kapsik"	"辣"	"【料】トウガラシ ／ 【料】ピーマン ／ 【料】チリソース ／ 【植】トウガラシ（唐辛子）（属）,>>papriko;=kapsikofru"
"koktel"	"鸡尾酒"	"【料】カクテル（酒）"
"pudor"	"羞"	"恥じらいのある,慎み深い ／ 恥じらって,恥ずかしげに,つつましく ／ （性的な）羞恥心,恥じらい,慎み深さ"
"trot"	"小跑"	"［自］（馬などが）速歩（はやあし）で駆ける,だくを踏む,>>ambli,>> ／ （馬などの）速歩（はやあし）,だく足,トロット"
"papaj"	"木瓜"	"【植】パパイア"
"karik"	"木瓜"	"【植】パパイヤ（属）,>>papajo;【植】=karekso（スゲ）"
"cidoni"	"木瓜"	"【植】マルメロ ／ 【植】カリン（花梨）"
"baron"	"爵"	"男爵;【史】（中世、国王から領地を与えられた）諸侯 ／ （三人称）男爵閣下"
"ful"	"缩"	"［他］【織】（毛織物を）圧縮する,縮絨（しゅくじゅう）する"
"s^rump"	"缩"	"［自］しなびる,しわが寄る,しおれる,縮む ／ 萎縮"
"sistol"	"缩"	"【医】収縮期血圧,=supra premo ／ 【医】心収縮期,><diastolo"
"rif"	"礁"	"【海】礁（しょう）,岩礁,暗礁;《転》暗礁（危険な障害物） ／ 暗礁 ／ 【PIV】Prezentanta rifojn: rifa maro; se"
"mistik"	"玄"	"【宗】神秘の,霊的象徴の;神秘主義的な ／ 神秘的信仰,神秘的信条;絶対的信仰"
"naved"	"梭"	"【交】シャトルバス ／ 【織】ひ（杼）,シャトル ／ 【PIV】1 Rilata al navedo. 2 (f (figuras"
"ponard"	"匕"	"［他］短剣で刺す ／ （両刃の）短剣"
"siring"	"丁香"	"【植】ライラック,ハシドイ（属）"
"reu^mat"	"风湿"	"【医】【PIV】Dolora kongesto, precipe c^e l"
"fulmin"	"轰"	"［自］【理】爆鳴する,>>detonacio"
"frivol"	"轻浮"	"軽はずみな,不まじめな;くだらない,つまらない ／ くだらない考え ／ 浮ついた女"
"skist"	"片岩"	"片岩の,片状の ／ 【鉱】片岩,結晶片岩;頁岩（けつがん）;（薄い板状に割れやすい性質をもった岩"
"ovari"	"卵巢"	"【病】卵巣嚢腫（のうしゅ） ／ 【病】卵巣腫瘍（しゅよう） ／ 【解】卵巣;【植】子房"
"endemi"	"地方"	"ある地方に特有な;【医】風土病の ／ 【環】固有種（その分布が特定の地域に限定される生物種）,>>kosmopol ／ 【医】風土病;（病気の）地方的流行"
"klab"	"棍"	"［他］こん棒で殴る ／ こん棒;【運】（ゴルフの）クラブ"
"prud"	"假正"	"とりすました,貞淑ぶった,かまととの"
"dok"	"船渠"	"【海】ドック,船渠 ／ 【海】乾ドック"
"drast"	"猛"	"【薬】薬効の激しい;《転》強烈な,激烈な,徹底的な,思い切った,厳しい ／ 強烈な対比 ／ 強く心を打たれる場面 ／ 抜本的な変更"
"herez"	"异端"	"異端の;異説の ／ ［自］異端を唱える ／ 【宗】（正統派に対する）異端;《転》異説"
"marn"	"泥灰"	"［他］【農】（畑に）泥灰土を施す ／ 【鉱】泥灰岩;【農】泥灰土,マール ／ 【地名】マルヌ川（フランス，セーヌ川の支流）"
"dig"	"拦"	"［他］（堤防などで）せき止める ／ 堤防;堰（せき）,ダム"
"poc^"	"煮"	"［他］【料】落とし卵にする"
"stuf"	"煮"	"［他］【料】蒸煮にする,とろ火で煮る"
"frikas"	"煮"	"［他］【料】フリカッセにする,ホワイトソースで煮込む"
"trip"	"肚"	"【料】モツ煮込み ／ （動物の）はらわた,臓物;（反芻動物の）胃;【料】トライプ（牛の胃を刻んで煮"
"spark"	"火花"	"【電】スパーク,電気火花"
"kompas"	"罗盘"	"【理】ジャイロコンパス ／ 【海】羅針盤,コンパス ／ 【天】らしんばん座 ／ 【理】磁気コンパス"
"pram"	"渡"	"［他］（船で）渡す ／ 渡し船"
"diabet"	"糖尿"	"【病】尿崩症 ／ 糖尿病の ／ 【医】糖尿病性昏睡（こんすい） ／ 【病】糖尿病"
"krep"	"皱绸"	"【織】クレープデシン,フランスちりめん ／ 【服】綿縮（めんちぢみ） ／ クレープゴム（靴底などに用いる） ／ クレープ紙,ちりめん紙"
"anus"	"肛"	"肛門の ／ 【魚】臀（しり）びれ ／ 肛門性交,アナルセックス ／ 肛門で"
"ermit"	"隐"	"【宗】隠遁（いんとん）生活 ／ 【宗】隠者,隠修士;《転》世捨て人 ／ 【PIV】Rilata al ermito: vivi ermitan vi"
"trake"	"气管"	"【解】気管,>>bronko;【虫】気管;【植】導管;=trah^eo"
"trah^e"	"气管"	"【解】気管,>>bronko;【虫】気管;【植】導管;=trakeo"
"vagin"	"阴道"	"膣洗浄 ／ 【解】膣（ちつ）,ワギナ ／ 【PIV】Rilata al vagino: vagina injekto;"
"orden"	"修会"	"【キ】観想修道会 ／ ［他］叙勲する ／ 勲章,勲位;【史】騎士団;【キ】修道会 ／ 修道会"
"bed"	"圃"	"【園】（細長い）野菜畑,花壇"
"fisk"	"国库"	"国庫の;国税の ／ 税法 ／ 【経】国庫債券,（日本の）短期国債,（米国の）財務省短期証券,（英国の）大蔵 ／ 国庫;国税庁,税務当局"
"tar"	"皮重"	"風袋（ふうたい）（包装容器の重量） ／ 【PIV】(tr (transitiva)) Determini la pe"
"tartr"	"酒石"	"【化】酒石;【医】歯石,=dentos^tono"
"algebr"	"代数"	"【数】代数方程式 ／ 代数幾何学 ／ 代数学 ／ 【数】ブール代数"
"skab"	"疮疤"	"【植】【PIV】Plantmalsano, kau^zata de iuj "
"c^ant"	"咏"	"【楽】グレゴリオ聖歌 ／ 【楽】【PIV】Formo de kantado uzata por psa ／ 【PIV】(tr (transitiva)) Tiele kanti."
"psalm"	"咏"	"［他］【カ】（詩篇を）詠唱する;単調に歌う ／ 【宗】聖歌,詩篇歌,>>himno,>>kantiko"
