"root"	"kanji"	"gloss"
"implik"	"缠"	"込み入った,複雑な ／ 込み入った織物 ／ ［他］もつれさせる,絡めとる;込み入らせる,混乱させる;（事件に）巻き込む ／ 【PIV】Stato de io implikita: impliko de"
"obsed"	"缠"	"（観念が）頭から離れない ／ ［他］（観念が）つきまとう,とりつく ／ 妄執,固定観念,強迫観念"
"imun"	"免"	"【医】免疫の;【法】免除の;【機】耐性のある ／ 【医】免疫システム"
"incit"	"惹"	"［他］（刺激して）怒らせる,いらだたせる;極度に興奮させる ／ 怒らせること,挑発;=incitig^o（立腹）"
"indign"	"愤"	"憤慨した ／ 憤りのまなざし ／ 憤慨して,憤然として ／ ［自］（不正や卑劣な行為に対して）憤慨する,憤る"
"indulg"	"饶"	"寛大な ／ 寛大に ／ ［他］容赦する,大目に見る;寛大に扱う,いたわる;助命する ／ 容赦,寛大,寛容"
"infekt"	"染"	"感染の,感染性の ／ 感染症,伝染病 ／ ［他］（人に）感染させる,病気をうつす,>>kontag^i;《転》感化する ／ 【医】感染,>>kontag^o;《転》感化"
"kontag^"	"染"	"接触感染の,伝染性の ／ 接触感染 ／ 伝染病 ／ ［他］【医】（病気を）接触感染させる,伝染させる,>>infekti"
"infer"	"狱"	"地獄の,地獄のような,すさまじい ／ ひどい騒音 ／ 悪鬼のような残忍さ ／ 【化】硝酸銀棒,=lapiso"
"gehen"	"狱"	"【聖】地獄;《転》苦難の地 ／ 【聖】ゲヘナ（ヒノムの谷） ／ 【聖】【PIV】Valo apud Jerusalemo, kiu, pro"
"prizon"	"狱"	"=malliberejo（刑務所）,>>karcero ／ 【PIV】Rilata al prizono(j): prizona pun"
"insign"	"徽"	"記章,バッジ;（〜oj）（都市・家などの）紋章 ／ 【PIV】Tuto de la emblemoj, servantaj ki"
"blazon"	"徽"	"［他］紋章を描く ／ 紋章,家紋 ／ 【PIV】Rilata al blazono: la blazonaj re"
"inspir"	"启"	"［他］（思想・感情を）吹き込む,鼓吹する,抱かせる;霊感を与える ／ 鼓舞,激励;霊感,インスピレーション;着想,思いつき"
"inund"	"淹"	"［他］氾濫する,水浸しにする;《転》あふれる ／ 氾濫,洪水;《転》充満"
"izol"	"隔"	"=izolita（孤立した） ／ ［他］孤立させる,切り離す,隔離する;【電】絶縁する;【化】単離する ／ 【電】導線を絶縁する ／ 【生】細菌を分離する"
"vand"	"隔"	"板壁（間仕切り） ／ 仕切り,中仕切り,仕切り板;間仕切り,仕切り壁,隔壁;【解】=septo（中 ／ 部屋の仕切り壁 ／ 箱の中仕切り"
"sept"	"隔"	"【解】中隔,隔壁,隔膜 ／ 【PIV】(tr (transitiva)) Provizi, dividi"
"separ"	"隔"	"［他］【法】（夫婦を）別居させる ／ 【法】（裁判上の）夫婦別居,>>eksedzig^o"
"jubile"	"庆典"	"百年祭 ／ 記念祭の ／ （５０周年などの）記念祭;【カ】聖年,大赦 ／ 千年祭"
"kaban"	"庐"	"（高山の）山小屋,登山小屋 ／ 小屋,掘立て小屋,あばら屋 ／ みすぼらしい小屋"
"kaĉ"	"粥"	"【料】くず湯 ／ 《般》バリウム（Ｘ線造影剤） ／ 【料】かゆ,ピューレ,かゆ状の食物;《転》まずい食物;《転》かゆ状の物 ／ ぬかるみ,軟泥,>>s^limejo"
"kaduk"	"朽"	"老朽の,荒廃した;老衰した,老いぼれた;消えていく,はかない;【法】（期限切 ／ 荒れはてた家 ／ はかない希望 ／ 失効した条項"
"kaĝ"	"笼"	"鳥かご;おり"
"kanal"	"渠"	"取水路,導水路 ／ 放水路 ／ 【地名】大運河（中国） ／ 用水路"
"kaŝtan"	"栗"	"【果】クリ（栗）"
"maron"	"栗"	"【果】（栽培された）栗,大栗,>>kas^tano"
"kirurg"	"外科"	"外科医 ／ 腕のよい外科医"
"klimat"	"气候"	"【気】気候区 ／ 気候変動 ／ 気候;風土 ／ 【気】大陸気候"
"flat"	"媚"	"お世辞の,さわりのよい ／ ［他］おだてる,お世辞を言う;うれしがらせる,（野心などを）満足させる ／ ［他］うぬぼれる,思いこむ ／ おだて;うれしがらせ"
"koket"	"媚"	"こびるような,なまめかしい,色っぽい ／ 色っぽく,なまめかしく ／ ［自］こびを売る,しなを作る"
"lake"	"媚"	"［他］ペコペコと仕える ／ （お仕着せを着た）従僕;《転》卑屈な人間"
"kolizi"	"撞"	"【理】弾性衝突 ／ ［自］衝突する,ぶつかる ／ 衝突;【理】衝突 ／ 自動車の衝突"
"perkut"	"撞"	"【軍】着発信管,撃発信管,=frapa fuzeo ／ 《稀》［他］（硬い物体が）打撃を与える,衝撃を与える,=frapi;【医】打"
