"root"	"kanji"	"gloss"
"skapol"	"肩"	"肩甲骨の ／ 【解】肩甲骨"
"supoz"	"设"	"予想に反して ／ 〜と仮定して ／ ［他］仮定する,想定する;想像する,予想する ／ 仮定,想定,想像"
"establ"	"设"	"［他］設置する,開設する,創立する,確立する,制定する ／ 民主主義を確立する ／ 会社を設立する ／ 作業グループを設置する"
"ŝvel"	"肿"	"［自］ふくれる,ふくらむ,膨張する,はれる;（過度に）増大する,ふくれあがる ／ 膨張,腫れ（はれ）;=s^velaj^o（はれもの） ／ 【PIV】Tia, ke g^i s^velas au^ s^velis: "
"ŝvit"	"汗"	"汗の;汗ばんだ,汗まみれの ／ 汗をかいて,汗だくで;《転》汗水流して,苦労して ／ ［自］汗をかく;《転》（液体を）にじませる;《転》（汗水流して）苦労する ／ 血をにじませる"
"h^an"	"汗"	"【史】ハーン,カン（汗）（中央アジア遊牧民の族長・君主の称号）"
"taks"	"评"	"［他］評価する,鑑定する,見積もる,査定する;《古》=alte taksi（ ／ 評価額,査定額;公定料金,公共料金 ／ 【PIV】Rilata al taksado: taksa prezo, v"
"kritik"	"评"	"あり得る批判 ／ 批評の;批判の,批判的な ／ 批判的に ／ ［他］批評する;批判する"
"koment"	"评"	"［他］論評する,解説する;=komentarii（注釈をつける） ／ 論評,解説;【情】（プログラムの）コメント,注 ／ 【情】【PIV】Vortoj en komputila programo, "
"recenz"	"评"	"［他］（新刊書・演劇などを）批評する,論評する ／ 書評,批評,論評"
"tem"	"题"	"大会テーマ ／ ［自］（pri）〜を主題としている;（無主語）問題は〜である ／ 主題,テーマ,題目,論題,話題;【楽】主題,主旋律 ／ 【PIV】1 Karakterizanta la temon, au^ ka"
"titol"	"题"	"［他］表題を付ける;称号を与える ／ 題名,表題,見出し,タイトル;称号,肩書;資格 ／ 【PIV】Rilata al titolo: sur la titola p"
"tez"	"题"	"主張,説;【論】命題,定立,提題;【政】テーゼ;【学】=disertacio"
"topik"	"题"	"【PIV】1 Parto de la retoriko, teorio de"
"tomb"	"墓"	"墓の,墓のような ／ 墓,墓穴,墓石,墓碑;《転》死"
"tondr"	"雷"	"雷の,雷のような ／ 万雷の拍手 ／ ［自］（無主語）雷が鳴る;（大砲などが）とどろく ／ 雷（かみなり）,雷鳴;《転》大音響,ごう音"
"traduk"	"译"	"完訳 ／ 逐語訳 ／ 意訳 ／ 対訳"
"tur"	"塔"	"傾いた塔 ／ 【遊】（将棋の）竜王（竜） ／ 塔,やぐら,鐘楼;【運】（高飛び込みの）飛び込み台;【遊】（チェスの）ルーク ／ 【地名】トゥール（フランス）"
"urĝ"	"急"	"緊急の,火急の,差し迫った,切迫した ／ 救急処置,応急手当 ／ 緊急手術 ／ 差し迫った問題"
"van"	"徒"	"実りのない,むだな;むなしい,実質を伴わない ／ 浪費,無駄遣い ／ むなしい希望,はかない望み ／ 【遊】（チェスの）引き分け,ドロー"
"adept"	"徒"	"（学説・教義の）信奉者;（思想・運動の）支持者,仲間,同志"
"ventr"	"腹"	"腹の,腹部の ／ 【魚】腹びれ ／ 【解】腹,腹部;【理】（定常波の）腹,><nodo"
"lapar"	"腹"	"【医】【PIV】Abdomeno (en kunmetaj^oj)."
"verŝ"	"浇"	"［他］（液体を）注ぎ込む ／ ［他］（液体・光を）注ぐ;流す,こぼす ／ 涙を流す ／ 【PIV】Ago de iu, kiu vers^as."
"zon"	"带"	"経済圏 ／ 【経】排他的経済水域（EEZ） ／ 【地理】寒帯 ／ 工業地帯"
"bend"	"带"	"［他］（ひも・テープで）しばる,束ねる,巻く ／ ひも,テープ,帯,バンド;【車】タイヤ;【建】帯飾り ／ ビニールテープ"
"laĉ"	"带"	"［他］〜のひもを結ぶ,ひもで締める;《転》束縛する ／ （靴などの）ひも,編みひも;罠（わな）"
"rimen"	"带"	"（平たくて細長い）ひも,帯,革帯;【機】ベルト"
"ruband"	"带"	"綿テープ ／ リボン,テープ,ひも,帯状のもの;（勲章の）綬（じゅ）"
"balte"	"带"	"肩から斜めに ／ （剣や重荷を支えるために肩にかける）負い革,肩帯;（肩からかける）シートベル"
"kordon"	"带"	"青綬（せいじゅ）（ブルボン王朝の最高勲章をさげる） ／ 飾りひも;綬（じゅ）;（ひも状の）連なり,列;【軍】哨兵線,警戒線 ／ （伝染病を防ぐための）防疫線"
"admir"	"佩"	"［他］感嘆する,賛美する;敬服する,感心する ／ 英雄的行為に感服する ／ 音楽に聴きほれる ／ 景色に見とれる"
"uni"	"联"	"（la 〜）アフリカ連合（2002年設立） ／ 【政】ヨーロッパ連合（EU） ／ 【政】同盟,連合,>>unuig^o,>>federacio,>>konfe"
"asoci"	"联"	"協会の ／ 会員 ／ ［他］協会を作る;結合させる,連想させる ／ 協会,結社;結合,連合"
"feder"	"联"	"［他］連合させる;連邦にする ／ =federacio（連合）"
"baz"	"基"	"基礎的な;【化】塩基性の ／ ベーシックインカム,基礎所得保障 ／ 基本形 ／ 【生】基礎代謝"
"kas"	"库"	"金庫;会計 ／ 裏金 ／ 国庫 ／ 【PIV】Rilata al la kaso: kasaj zorgoj."
"garaĝ"	"库"	"［他］ガレージに入れる ／ ガレージ,車庫;自動車修理場"
"remiz"	"库"	"［他］車庫に入れる,小屋に入れる ／ 車庫,ボート小屋,馬車小屋,（屋根のついた）車置き場,=veturilejo"
"boat"	"舟"	"【海】ホバークラフト ／ 乗組員,水夫 ／ ボート,小舟"
"kanu"	"舟"	"カヌー,丸木舟;【運】（競技用の）カヌー,>>kajako"
"kanot"	"舟"	"（手こぎの）遊覧ボート;=kanuo"
"gondol"	"舟"	"ゴンドラ（船）;=nacelo"
"butik"	"店"	"［自］小売店を営む ／ 店,小売店 ／ 小売店 ／ 店を経営する"
"ced"	"让"	"【生】劣性遺伝子,><rega geno ／ 【生】劣性遺伝 ／ ［自］譲歩する,屈服する;［他］譲る,譲渡する ／ 譲歩,屈服"
"konced"	"让"	"［他］（議論などで）譲歩する,認める,容認する ／ 譲歩,容認 ／ 【PIV】(pp (se paroli pri) prop. (propoz"
"alien"	"让"	"【PIV】(tr (transitiva)) Aliproprigi, tr ／ 【医】【PIV】Trafita de alieneco."
"cerb"	"脑"	"頭脳的な,脳の ／ 【解】脳弓 ／ 【病】脳出血 ／ 【病】脳出血"
"cerebr"	"脑"	"【解】【PIV】(cerebrum) La supra parto de l"
"arkt"	"极"	"【地理】北極の,=nordpolusa,><antarkta ／ （la 〜）【地理】北極圏 ／ 【地名】北極海（＝北氷洋） ／ 【動】ホッキョクギツネ（北極狐）,=izatiso"
"polus"	"极"	"【理】磁極 ／ 【理】負極 ／ （la 〜）【地理】北極;【理】Ｎ極 ／ 極の;極地の"
"polar"	"极"	"【理】極の,極性の ／ 【理】極性分子"
"pes"	"衡"	"［他］〜の重さを計る,はかりにかける,計量する;《転》慎重に考慮する,吟味す ／ =pesado（計量） ／ 【貨】ペソ（メキシコ・キューバ・アルゼンチン・フィリピンなど）,=100 c"
"bilanc"	"衡"	"［他］【商】貸借対照表を作る,差引勘定をする ／ 【商】貸借対照表,>>inventaro,>>saldo"
"escept"	"除"	"例外的な ／ 例外的に,=esceptokaze;もっぱら,=ekskluzive ／ 〜を除いて,〜のほかは ／ 〜する場合を除いて,〜でなければ"
"ektomi"	"除"	"【医】【PIV】Parta au^ tuta fortranc^o de o"
"elimin"	"除"	"除去の,排除の;ふるい落とす,予選の ／ 予備試験 ／ ［他］除去する,取り除く,削除する;ふるい落とす;【医】排出する;【数】消去 ／ 除去;ふるい落とし;【医】排出;【数】消去（法）"
"fabrik"	"厂"	"［他］製造する,製作する,生産する ／ 工場,製造所,製作所 ／ 【PIV】Rilata al fabriko: la fabrika elf"
"uzin"	"厂"	"（大規模な）冶金工場,>>fabriko ／ 【PIV】(tr (transitiva)) Produkti per ma"
"fleks"	"弯"	"=fleksebla（曲げられる） ／ ［他］曲げる,たわめる;《転》屈服させる,従わせる ／ 曲げること;【語】屈折;【理】曲げ ／ 【理】曲げ強さ"
"funkci"	"功"	"［自］職務を遂行する;機能を果たす ／ 職務,役目;機能,作用;【数】関数;【情】関数 ／ 【数】逆関数 ／ 【数】連続関数"
"gratul"	"贺"	"祝いの,祝賀の ／ ［他］お祝いを言う ／ 祝詞,祝辞;祝賀,祝意"
"map"	"图"	"天体図 ／ 【地質】地質図 ／ ［他］地図を作る;【数】写像する,=bildigi ／ 地図;【数】写像"
"ilustr"	"图"	"［他］挿絵を入れる,図解する;（例をあげて）説明する"
"skem"	"图"	"図式の,概要の ／ 略図 ／ ［他］図解する;図式化する ／ 図式,図表,図解;概要,梗概（こうがい）"
"grafik"	"图"	"グラフによる,図形で表した ／ グラフィックアート ／ 【情】グラフィカル・ユーザーインターフェース（GUI） ／ 【情】図形文字,=grafika signo"
"ofer"	"献"	"［他］【宗】（神に）ささげる,供える;犠牲にする,費やす;（人などに）ささげ ／ =oferaj^o（供物）;=oferado（犠牲） ／ 【PIV】Kiel ofero: farinte sanktan prome"
"dediĉ"	"献"	"［他］（努力・時間を）ささげる;（著書・楽曲を）献呈する;【宗】奉献する ／ 献呈;献辞"
"pejzaĝ"	"景"	"景色に見とれる ／ 風景,景色,眺め;【美】風景画;【環】景観 ／ 【PIV】Rilata al pejzag^o(j)."
"poem"	"诗"	"滑稽詩 ／ 【文】定型詩,><liberforma ／ 【文】自由詩,><fiksforma ／ 現代詩"
"poet"	"诗"	"栄誉に満ちた詩人 ／ 偉大な詩人 ／ 詩人"
"poezi"	"诗"	"詩歌が大好きである ／ 詩の;詩的な,詩情豊かな,><proza ／ 詩語,雅語,>>eleganta vorto ／ （ジャンルとしての）詩,詩歌,韻文;詩情,詩趣"
"muz"	"诗"	"詩の女神;詩的霊感,詩想,詩才 ／ 【神】ムーサイ,ミューズの神々（学芸をつかさどる九人の女神）"
"poez"	"诗"	"【生】【PIV】Formig^o de la diversaj c^elsp"
"rab"	"抢"	"［他］奪う,奪い取る,強奪する,（強制的に）取り上げる ／ 強奪,奪取"
"mutual"	"互"	"【法】相互扶助の,共済の ／ 【法】相互保険"
"rev"	"幻"	"夢を実現する ／ 夢を実現する ／ 空想的な,夢のような ／ ［他］空想する,夢想する,夢みる"
"iluzi"	"幻"	"幻聴 ／ 錯覚の;見せかけの ／ むなしい期待 ／ 空約束"
"h^imer"	"幻"	"キマイラの;《転》怪物的な,架空の,荒唐無稽な,=kimera ／ 【神】キマイラ;《転》怪物,妄想;【生】キメラ,=kimero"
"vizi"	"幻"	"［他］幻に見る,幻視する ／ 幻影,幻,幻視,幻覚;【宗】見神"
"revu"	"刊"	"みだらな雑誌 ／ ［他］評論する;【軍】閲兵する ／ 専門雑誌,評論雑誌;評論;【軍】閲兵,閲兵式;【劇】レビュー,風刺劇"
"hal"	"厅"	"市民会館,=urba halo ／ ホール,大広間;市場,（屋根と柱だけの）市場の建物 ／ 市民ホール,市民会館,=civitana halo"
"salon"	"厅"	"談話室 ／ 明るい広間 ／ サロン,広間,客間;名士の集い,社交界;（定期的な）美術展 ／ 【PIV】Rilata al salono 1 k 2: juna k sa"
"atri"	"厅"	"【建】【解】【PIV】1 【建】Interna korto kun port"
"sistem"	"系"	"【軍】防空システム ／ 【解】自律神経系 ／ 【数】十進法 ／ 【解】消化系"
"spalir"	"系"	"［他］【農】果樹垣根に固定する ／ 【農】果樹垣根,樹牆（じゅしょう）;《転》人垣"
"sovaĝ"	"野"	"野生の;未開の;野蛮な;《転》粗野な,粗暴な ／ 野生動物 ／ 野草 ／ 【環】野生生物"
"ŝut"	"撒"	"［他］（粉粒を）まく,ばらまく;《転》ぶちまける"
"teatr"	"剧"	"アマチュア演劇 ／ 国立劇場 ／ 野外劇 ／ 劇場の;劇の,演劇の;《転》芝居がかった"
"dram"	"剧"	"演劇の;《転》劇的な ／ 【劇】正劇（古典的な悲劇・喜劇に分類されない近代的な市民劇）,>>tragi"
"komedi"	"剧"	"（la 〜）【文】『神曲』（ダンテ作） ／ 喜劇の,喜劇的な;《転》見せかけの,茶番の ／ 喜劇俳優,喜劇役者 ／ 喜劇作家"
"skeĉ"	"剧"	"【劇】寸劇"
"fars"	"剧"	"笑劇の;茶番の ／ 【劇】笑劇,ファルス,>>burleskaj^o;《転》茶番劇,=farsa"
"termi"	"温"	"【医】【PIV】Korpa temperaturo (en kunmetaj"
"tepid"	"温"	"《詩》=varmeta（ぬるい）"
"tip"	"型"	"典型的な,代表的な;特有の,いかにも〜らしい;類型的な,型にはまった ／ 典型的な反応 ／ 典型的に ／ 型,類型,タイプ;典型;原型;【機】型式;【印】活字;【情】字体"
"muld"	"型"	"［他］型に入れて作る,鋳造する;型を取る,鋳型をとる ／ =muldado（鋳造）"
"ton"	"调"	"とげとげしい口調 ／ 【病】アトニー,弛緩症 ／ 陰うつな口調 ／ 決然とした口調"
"agord"	"调"	"【通】同調コイル ／ ［他］【楽】調律する,音を合わせる;【通】同調させる;【情】設定する,セット ／ 【楽】調律,調弦;【通】同調,チューニング;【情】設定,セットアップ;《転》"
"melodi"	"调"	"快いメロディー ／ 旋律の,旋律的な;豊かな旋律の,調べの美しい,耳に心地よい ／ 【楽】旋律,調べ,メロディー"
"modul"	"调"	"［他］抑揚をつける;【楽】転調する;【通】変調する ／ 【理】（弾性率などの）係数,率;【建】モジュール（基準寸法）;【機】（歯車の ／ 【理】弾性率 ／ 【理】ばね定数"
"tonal"	"调"	"【楽】長調 ／ 【楽】短調 ／ 【楽】調（ちょう）,>>maj^ora,>>minora ／ 【PIV】Rilata al tonalo."
"tord"	"拧"	"撚った,曲がりくねった,=tordita ／ ［他］よじる,ねじる,絞る;（縄などを）撚る;ねじ曲げる,ゆがめる ／ ねじれ,より;【理】ねじれ,>>flekso,>>tiro"
"vring"	"拧"	"［他］=premtordi（絞る）"
"tren"	"拖"	"［他］引きずる,引きずって行く;牽引する,引っぱる;《転》（つらいことに）耐 ／ 苦労して進む,のろのろ進む"
"var"	"货"	"【商】腐りやすい商品,生もの ／ 【商】壊れやすい商品,割れ物 ／ 【経】商品,売り物,>>komercaj^o,>>artiklo ／ 【医】【PIV】(varus) Prezentanta devion al "
"karg"	"货"	"梱包（こんぽう）された貨物 ／ ［他］荷を積む ／ 【海】船荷,積荷;【鉄】貨物,>>s^arg^o ／ ばら積みの貨物"
"frajt"	"货"	"【海】（積荷の）容積トン（1.13ｍ3） ／ ［他］（貨物運送のため船舶・車両・航空機を）賃借りする,賃貸しする ／ 貨物運送;貨物;運賃,=frajtoprezo"
"azen"	"驴"	"ロバの;愚かな ／ 【動】ロバ;《転》愚か者"
"korb"	"篮"	"かご,ざる"
"abi"	"杉"	"【植】モミ（樅）（属）"
"acid"	"酸"	"【化】酢酸 ／ 酸っぱい,酸味の;《転》辛辣（しんらつ）な,手厳しい;【化】酸の,酸性の ／ 【料】ザウアークラウト ／ 【果】スミノミザクラの実（酸味の強い加工用サクランボ）"
"agl"	"雕"	"ワシの;鷲のような ／ 【鳥】ワシ（鷲）（タカ科の大形の鳥に対する呼称）,>>akcipitro;（ ／ 【天】わし座 ／ （紋章の）双頭の鷲"
"skulpt"	"雕"	"［他］彫刻する,彫る"
"c^iz"	"雕"	"［他］のみで彫る,刻みこむ,彫刻する,>>skulpti;《転》（文章を）練"
"cizel"	"雕"	"［他］（金属に）打ち出し模様を施す"
"relief"	"雕"	"浮彫りの,起伏に富んだ,際立った ／ 立体地図 ／ 浮彫りに,起伏に富んで,際立って ／ 起伏,凹凸;【美】浮彫り,レリーフ"
"bot"	"靴"	"長靴;【服】ブーツ ／ ゴム長靴 ／ 【PIV】Alta leda piedvesto, kiu atingas "
"burĝ"	"资"	"中産階級の,ブルジョアの ／ 中産階級の市民,ブルジョア,>>nobelo,>>proleto;《転》俗物"
"domaĝ"	"惜"	"惜しむべき,遺憾な,残念な,>>bedau^rinda ／ 残念にも,>>bedau^rinde ／ ［他］惜しむ,大事にする,いたわる ／ 惜しいこと,残念なこと"
"fojn"	"干草"	"［自］刈り草を乾かす ／ 干し草,まぐさ"
"ilumin"	"照"	"［他］照明する,イルミネーションで飾る;【宗】天啓を与える"
"glu"	"胶"	"糊（のり）の ／ ［他］はる,はりつける,接着する ／ 糊（のり）,膠（にかわ）"
"gum"	"胶"	"アラビアゴム ／ 弾性ゴム,=kau^c^uko ／ ［他］ゴムを塗る;ゴムを加える ／ 【植】ゴム,ゴム液;弾性ゴム,=kau^c^uko;消しゴム,=frotgu"
"kaŭĉuk"	"胶"	"弾性ゴムの,ゴム製の ／ ゴムひも ／ ゴム長靴 ／ ゴム靴"
"koloid"	"胶"	"【化】コロイド状の ／ コロイド化学 ／ 【化】コロイド溶液 ／ 【化】コロイド,膠質（こうしつ）"
"kling"	"刃"	"刃（は）,刀身,>>tranc^rando ／ かみそりの刃"
"mason"	"砌"	"［他］（石・レンガで）築く"
"pip"	"烟斗"	"（喫煙用）パイプ,きせる（煙管）"
"solid"	"固"	"【数】回転体 ／ 固体の;固い,頑丈な;確固とした,確実な;堅実な,しっかりした ／ しっかりした論証 ／ 丈夫な時計"
"aktor"	"演"	"［自］演技する ／ 俳優 ／ 喜劇俳優,喜劇役者 ／ 旅役者"
"blok"	"块"	"［他］（物を置いて）ふさぐ,さえぎる;【軍】=blokadi ／ 塊,ブロック,台;街区;（暦・メモ用紙などの）一つづり;【政】ブロック（国家 ／ １０枚綴りの切手シート"
"parcel"	"块"	"（土地の）一区画,一筆（いっぴつ）"
"grumel"	"块"	"【PIV】Malgranda buleto, koagulig^inta e ／ 【PIV】Kun grumeloj."
"dec"	"宜"	"礼儀にかなった,きちんとした,行儀のよい;ふさわしい,適切な ／ 礼儀にかなって,きちんとして,行儀よく;ふさわしく ／ ［自］礼儀・作法にかなう;（礼儀・作法上）ふさわしい ／ 礼儀,作法"
"dosier"	"档"	"【情】バイナリファイル ／ 一件書類;（犯罪者の）前科簿;【情】ファイル ／ 【情】バイナリファイル,=bitara dosiero ／ 【情】ファイルを閉じる"
"arkiv"	"档"	"古文書,古文書館;【情】アーカイブファイル"
"vegan"	"素"	"=vegetaj^ano（完全菜食家）"
"fraz"	"句"	"例文 ／ 難解な文章 ／ ［自］美辞麗句を並べる ／ 文,文章;美辞麗句;【楽】楽句,フレーズ"
"vers"	"句"	"無韻の詩句 ／ 詩脚の整わない詩句 ／ 【文】自由詩句 ／ ［自］詩を作る"
"fuŝ"	"拙"	"仕損じの,出来損ないの ／ ［他］仕損じる,台なしにする"
"klasik"	"典"	"古典の;古典的な,伝統的な,正統派の;【芸】古典主義の,古典派の ／ 古典教育 ／ 古典語（特に古代ギリシア語・ラテン語） ／ 【理】古典力学"
"kodeks"	"典"	"（冊子状の）古写本,古文書;【薬】=farmakopeo（薬局方） ／ 【聖】シナイ写本"
"klopod"	"尽"	"骨の折れる ／ 骨の折れる仕事 ／ ［自］奔走する,尽力する,世話を焼く ／ 尽力,奔走,骨折り"
"korekt"	"改"	"訂正の;=>g^usta（正しい） ／ 【写】補正フィルター ／ ［他］訂正する,校正する;修正する,矯正する ／ 訂正,校正;修正,矯正"
"modif"	"改"	"［他］修正する,一部変更する ／ =modifado（修正）;=modifaj^o（修正個所）"
"amend"	"改"	"［他］（法律・議案などを）修正する,改正する ／ 【法】【政】修正,改正"
"menci"	"提"	"選外佳作 ／ ［他］言及する,ちょっと触れる,名を挙げる ／ 言及,記載"
"suflor"	"提"	"［他］せりふを付ける;《転》そっと教える,耳打ちする ／ 【劇】プロンプター;（歌舞伎の）黒衣（くろご）"
"vasal"	"臣"	"【史】（封建制下の）家臣,臣下"
"preleg"	"讲"	"［自］講演する ／ 講演,講話,講義"
"lekci"	"讲"	"［自］講義をする ／ （大学の）講義"
"predik"	"讲"	"［他］（教えを）説く,説教する;《転》説き勧める ／ 説教 ／ （la 〜）【聖】山上の垂訓"
"plekt"	"编"	"［他］編み込む ／ ［他］（細長いものを）編む,組む,撚る;編んで作る ／ 編んだもの"
"redakt"	"编"	"［他］（記事・文書を）書く,まとめる;（新聞・雑誌を）編集する ／ 【PIV】Ago de tiu, kiu redaktas: verkoj,"
"kompil"	"编"	"［他］編纂（へんさん）する,集成する,編集する ／ 教科書を編集する ／ 辞書を編纂する ／ =kompilado（編纂）"
"editor"	"编"	"【PIV】Tiu, kiu pretigas por publikigo l ／ 【PIV】Agi kiel editoro: la Originala Ve"
"roman"	"小说"	"冒険小説 ／ 探偵小説 ／ 小説を構成する ／ 小説を発表する"
"vide"	"视"	"ビデオ映像技術;ビデオ映像"
"opt"	"视"	"【解】【PIV】Vidkapablo. ／ 【PIV】Rilata al la vidkapablo: la opta "
"trafik"	"交"	"運輸省 ／ 旅客交通,旅客輸送 ／ 公共交通 ／ 交通事故"
"koit"	"交"	"［自］交接する,性交する,=sekskunig^i ／ 【医】（ヒトの）交接,性交,>>kopulacio"
"avar"	"吝"	"欲の深い,けちな ／ ［他］欲張る,けちる,出し惜しむ ／ 【PIV】Kun avareco: li c^iam avare disdo"
"bala"	"扫"	"［他］掃く;【理】走査する"
"skan"	"扫"	"［他］探査する,走査する;【情】スキャンする"
"barb"	"胡"	"（あごやほおに）ひげの生えた ／ 【植】ヒゲナデシコ,ビジョナデシコ ／ あごひげ,ほおひげ ／ 半白のひげ"
"bek"	"嘴"	"［他］（くちばしで）つつく;［自］さえずる ／ くちばし"
"bros"	"刷"	"［他］ブラシをかける ／ ブラシ"
"strigl"	"刷"	"［他］（馬に）櫛をかける"
"skovel"	"刷"	"【技】【PIV】Cilindra raspa broso, fiksita  ／ 【PIV】(tr (transitiva)) Purigi, skrapan"
