sargas	藻
abutil	草
agami	鸟
agatid	木
agerat	草
aguti	鼠
agvara	兽
air	草
ajapan	草
ajug	草
akantias	鱼
akebi	木
akeronti	虫
akonti	龙
akor	草
akroh^ord	蛇
aksolotl	蛙
akte	草
alatern	木
albizi	木
alcelaf	兽
alektor	鸟
aleu^rit	木
aliari	草
alis	草
alit	蛙
alium	草
alkekeng	草
alokazi	草
alopekur	草
alpini	草
aluat	猴
ambistom	蛙
amelanc^	木
ami	草
amirid	木
amofil	草
amom	草
ampelopraz	草
anagir	木
anakond	蛇
anamirt	木
anarik	鱼
anastatik	草
andropogon	草
androzac	草
angostur	木
angrek	草
anil	草
anodont	贝
anon	木
antedon	虫
antenari	草
antiar	木
antilid	草
antoksant	草
antrisk	草
anturi	草
aot	猴
apatosau^r	龙
apios	草
arabidops	草
arabis	草
arali	木
arenari	草
argani	木
argemon	草
argiop	蛛
argironet	蛛
arkiteu^t	贝
arkte	草
arkti	虫
arktostafil	木
armadel	兽
armadilidi	虾
armeri	草
armilari	菌
armoraci	草
artokarp	木
arund	草
arunk	草
arvikol	鼠
aspidistr	草
astilb	草
astrakant	木
astre	菌
atel	猴
atropos	虫
au^brieti	草
au^kub	木
au^kume	木
au^rikulari	菌
au^stralopitek	猴
avero	木
aviceni	木
avikulari	蛛
avocet	鸟
azarol	木
azimen	木
azol	草
balat	木
balote	草
balzamit	草
bambuz	草
banjan	木
bantam	鸟
barbare	草
barbi	鱼
bau^hini	木
bazili	草
bekabung	草
belis	草
bemeri	草
bernikl	鸟
bertoleti	木
bignoni	木
biks	木
birg	虾
biskutel	草
bistort	草
blakbas	鱼
blapt	虫
blastocer	兽
bleti	草
bobolink	鸟
bold	木
bomben	蛙
bombicil	鸟
bonazi	鸟
bonit	鱼
bops	鱼
boselaf	兽
bostrik	虫
bosveli	木
botrit	菌
botrop	蛇
boviste	菌
brakin	虫
brioni	草
bromeli	草
bromus	草
brosm	鱼
brunel	草
brunfelsi	木
brusoneti	木
bucer	鸟
budle	木
buftalm	草
bugenvil	木
bungar	蛇
bupleu^r	草
buprest	虫
butom	草
cece	虫
cecidomi	虫
cedrel	木
ceib	木
celastr	木
celtid	木
centau^ri	草
centrant	草
cepol	鱼
cerami	藻
cerast	蛇
cerasti	草
ceratofil	草
ceratoni	木
cercid	木
cercidifil	木
cerkari	虫
certi	鸟
cestr	木
ceterak	草
cetoni	虫
cetrari	菌
cezalpini	木
cicindel	虫
cikas	木
cimbalari	草
cimbidi	草
cimbopogon	草
cimicifug	草
cinamom	木
cinar	草
cinerari	草
cinodont	草
cinoglos	草
cinozur	草
cipripedi	草
circe	草
cirkaet	鸟
cirku	鸟
cirsi	草
cistopterid	草
citin	草
citrol	草
civetikt	兽
c^ampinjon	菌
c^at	木
c^eti	鸟
c^ifc^af	鸟
c^ik	虫
c^inc^il	鼠
dafni	虾
dafodil	草
daktilis	草
dalbergi	木
damar	木
dau^k	草
davali	草
delonik	木
dendrolag	兽
densteti	草
deodar	木
der	木
dermest	虫
desmod	兽
did	鸟
difenbaki	草
difilobotri	虫
digitari	草
diktamn	草
dileni	木
ding	兽
diodont	鱼
diomede	鸟
dione	草
dioskore	草
dipterik	木
ditisk	虫
dolikot	鼠
donak	草
dorid	贝
drab	草
drimi	草
drimis	木
driopterid	草
dromi	虾
dromice	鸟
drozer	草
dugong	兽
duri	木
eci	菌
