"root"	"kanji"	"gloss"
"nenio"	"无o"	"［代］何も〜ない"
"neniu"	"无u"	"［形］どの〜も〜ない ／ ［代］誰も〜ない"
"nenia"	"无a"	"［形］どんな〜も〜ない"
"nenie"	"无e"	"［副］どこにも〜ない ／ どこへも〜ない"
"neniam"	"无时"	"［副］（いつでも）決して〜ない"
"neniom"	"无量"	"［副］少しも〜ない,全然〜ない ／ 【数】【PIV】Nenikvanta, neniplena: nenioma"
"nenies"	"无之"	"［形］誰の〜でもない"
"nenial"	"无因"	"［副］どんなわけでも〜ない"
"neniel"	"无样"	"［副］どうしても〜ない"
"kio"	"何o"	"［代］何,何事"
"kiu"	"何u"	"［形］どの,どちらの ／ ［代］だれ,どれ,どちら"
"kia"	"何a"	"［形］どのような,どんな"
"kie"	"何e"	"［副］どこで,どこに ／ ［副］どこへ"
"kiam"	"何时"	"［副］いつから ／ ［疑問詞］いつまで ／ ［接］〜するまで ／ ［副］いつ"
"kiom"	"何量"	"［接］（〜）ほど ／ ［副］どれほど,どれくらい,いくら ／ 何番目の ／ 何時"
"kies"	"何之"	"［形］だれの"
"kial"	"何因"	"［接］なぜ〜かということ ／ ［副］なぜ,どうして ／ ［間］（相手の発言に答えて）どうしていけないか,いいじゃないか,もちろん！ ／ 理由,動機"
"kiel"	"何样"	"［他］底なしに（酒を）飲む ／ ［接］〜のように ／ ［副］いかに,どのように ／ =kia（どんな）の強調形"
"ĉio"	"全o"	"［代］これらすべて ／ ［代］すべて（の事・物） ／ ［代］これらすべて"
"ĉiu"	"全u"	"［形］それぞれの,各〜,どの〜も,毎〜 ／ ［代］それぞれ,各人,だれも ／ ［形］すべての,〜はみな ／ ［代］すべて,みな"
"ĉia"	"全a"	"［形］すべての,あらゆる,どんな〜でも"
"ĉie"	"全e"	"［副］いたる所に,どこでも ／ いたる所の ／ ［副］どこもかしこも ／ いたる所へ"
"ĉiam"	"全时"	"［副］いつも,常に ／ いつもの,変わらない ／ ［副］ますます ／ ［副］永遠に,永久に,いつまでも"
"ĉiom"	"全量"	"［副］全部,すっかり ／ 全部の,ありったけの ／ 【PIV】La tuta kvanto."
"ĉies"	"全之"	"［形］各人の,みんなの,万人の"
"ĉial"	"全因"	"［副］あらゆる理由で"
"ĉiel"	"全样"	"［副］いろいろと ／ 空の,天の ／ 【天】天球 ／ =c^iamaniere"
