"root"	"kanji"	"gloss"
"memor"	"记"	"【情】外部記憶 ／ 正確な記憶 ／ 記憶力を養う ／ 記憶によって,そらで,>>parkere"
"not"	"记"	"【楽】十六分音符 ／ 【楽】二分音符 ／ 【楽】四分音符 ／ ［他］覚え書きする,メモする;《転》記憶にとどめる"
"ĵurnal"	"记"	"【情】ログファイル ／ （日刊）新聞;日記,=taglibro;【情】ログ;【商】仕訳帳 ／ 朝刊 ／ 夕刊"
"rekord"	"记"	"世界記録 ／ 新記録 ／ 記録的な ／ 【運】公認記録"
"graf"	"记"	"伯爵 ／ （la 〜）【文】『モンテクリスト伯』（大デュマ作） ／ 【PIV】Rilata al grafo: lia grafa mos^to"
"mir"	"惊"	"大変な驚き ／ ［自］不思議に思う,驚く,驚嘆する ／ 驚き,驚嘆 ／ 【PIV】Esprimanta miron: stari fikse kun"
"mon"	"钱"	"予約金 ／ 義援金 ／ （la 〜）国際通貨基金（IMF） ／ 補償金,賠償金"
"sold"	"钱"	"【史】スー（フランスの旧通貨）;（軍人の）俸給"
"mont"	"山"	"【地名】ブルー山脈（米国） ／ はげ山 ／ 山の,山岳の ／ 【植】アルニカ（ヨーロッパ産キク科の多年草，花と根は薬用）"
"mur"	"壁"	"【史】ベルリンの壁 ／ （la 〜）【建】万里の長城（中国） ／ ひと続きの壁 ／ 壁,へい（塀）;壁状のもの;《転》障壁"
"pariet"	"壁"	"【機】内壁;【解】壁"
"neces"	"必"	"必要な,不可欠の;【論】必然の,必然的な ／ （〜aj 〜oj）必要条件 ／ 必ず;必然的に ／ ［自］必要である"
"nepr"	"必"	"絶対必要な,不可欠の,必然の ／ ぜひ,どうあっても,必ず;必然的に ／ ［自］不可欠である,絶対必要である"
"nigr"	"黑"	"黒い,黒色の,黒ずんだ;暗い,闇の,曇った;《転》陰気な;《転》悪意のある; ／ 闇市（やみいち） ／ 【植】グロガラシ（黒芥子） ／ 【鉱】黒雲母（こくうんも）"
"negr"	"黑"	"【楽】黒人霊歌 ／ 黒人,ニグロ,=nigrulo"
"melan"	"黑"	"【医】【PIV】Mll de melanino en kunmetaj^oj"
"okul"	"目"	"落ちくぼんだ目 ／ どんよりした眼 ／ 目の ／ 眼病"
"oftalm"	"目"	"【解】【PIV】Okulo 1. ／ 【PIV】Rilata al oftalmo: la oftalma ner"
"okup"	"占"	"通常業務 ／ ［他］占めている,占有している,占領している;=ekokupi;専念させる, ／ 仕事,業務,職業"
"au^gur"	"占"	"［他］占う,予想する ／ 前兆;【史】（古代ローマの）鳥占い"
"orakol"	"占"	"［自］【宗】神託を告げる ／ 【宗】神託,神のお告げ"
"pag"	"付"	"即時払い,現金払い ／ ［他］払う,支払う;《転》仕返しする;《転》償いをする ／ 料金,支払い;《転》報復"
"part"	"部"	"不可欠の要素 ／ 中央部 ／ 部分的な,一部分の;分割の ／ 【天】部分食"
"pec"	"片"	"一片,一切れ,一つ;破片,断片;（機械などの）部品;（全体の中の）一部分,一 ／ 一片の〜,一切れの〜,一個の〜"
"lamen"	"片"	"薄片状の,薄片でできている,薄層をなす ／ 【理】層流 ／ 薄片,薄板,薄層"
"split"	"片"	"［他］へぐ,裂く ／ （木・石・鉄などのとがった）薄片,木片,破片;【電】（集積回路の）チップ;>"
"pens"	"思"	"くだらない考え ／ 人間の思考 ／ ［自］思う,考える ／ 考え,思い,思想"
"medit"	"思"	"［自］考え込む,思索する,黙想する;瞑想する ／ 思索,黙想;瞑想"
"perd"	"失"	"【理】誘電損失 ／ ［他］失う,なくす;見失う;（勝負に）敗れる;空費する ／ 戦いに負ける ／ 失業する,職を失う"
"permes"	"许"	"［他］許す,許可する,容認する;（状況が）許す,可能にする ／ 許し,許可,認可,許諾,容認"
"licenc"	"许"	"［他］認可する,免許を与える ／ 認可,免許;【文】（作詩上の）破格"
"lic"	"许"	"［自］《稀》=esti permesata（許されている） ／ 【PIV】Permesata, precipe per la religia"
"pied"	"足"	"足の,下部の ／ 【病】足白癬（そくはくせん）,水虫 ／ 足で,歩いて;足元に,下部に ／ 【解】足（足首から先）;（一般に）足,（動物の）脚;（物体の）脚部,下部,基"
"pod"	"足"	"【鳥】アマツバメ（雨燕）（属）,=apuso ／ 【地名】ル・ピュイ（フランス）"
"popol"	"民"	"【国名】中華人民共和国 ／ 人々を皆殺しにする ／ 先住民族 ／ 人民の;民衆の"
"civil"	"民"	"市民の,文民の;【法】民事の,><militista,><eklezia,> ／ （宗教的儀式によらない）民事婚 ／ 土木技師 ／ 【法】民事裁判"
"pleb"	"民"	"平民,>>popolano ／ 【史】（古代ローマの）平民階級;《転》庶民,下層民（全体）"
"pord"	"门"	"戸口,入り口;戸（と）,扉（とびら）,ドア ／ 【PIV】1 Rilata al pordo(j). 2 Rilata al"
"filum"	"门"	"【生】【PIV】Sistematika unuo (phylum) ampl"
"prem"	"压"	"【理】大気圧,>>aerpremo ／ 【医】拡張期血圧,=malsupra premo ／ 【理】動圧 ／ ［他］押し込む"
"tensi"	"压"	"【電】交流電圧 ／ 【理】端子電圧 ／ 【電】定電圧 ／ 【理】張力,>>strec^o;【機】応力;【電】電圧;【医】緊張;【医】血"
